ID,study.area,zone,sector,subsector,total.lithics,area.sqm,assemblage,predicted.period,MP_ubiq,UP_ubiq,EPI_ubiq,MESO_ubiq,ENEOL_ubiq,LNEOL_ubiq,density.km2,MP_int,UP_int,EPI_int,MESO_int,ENEOL_int,LNEOL_int
47,Cocina/Catadau,0,1,0,1,6799.759033,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,1.4706403493813337e-7,3.1905054065530927e-13,1.0209617300969897e-12,6.381010813106185e-12,7.292583786407069e-12,1.0209617300969897e-11,2.1270036043687285e-11
48,Cocina/Catadau,0,2,0,8,4096.044434,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,1.953103812447558e-6,4.237193869864104e-12,1.3559020383565132e-11,8.474387739728208e-11,9.685014559689381e-11,1.3559020383565132e-10,2.824795913242736e-10
49,Cocina/Catadau,0,2,0,1,5452.44751,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,1.8340387471240417e-7,3.9788861641044444e-13,1.2732435725134222e-12,7.957772328208889e-12,9.094596946524444e-12,1.2732435725134222e-11,2.6525907760696297e-11
50,Cocina/Catadau,0,1,0,7,9916.552734,Cocina/Catadau-0-1-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,7.058904629226368e-7,1.531405920785709e-12,4.900498946514268e-12,3.062811841571418e-11,3.500356390367335e-11,4.9004989465142687e-11,1.0209372805238059e-10
56,Cocina/Catadau,0,2,0,3,3641.439453,Cocina/Catadau-0-2-0,ENEOL,0.1160201978476173,0.27044674268053887,0.02869619883040935,0.07371149508648954,0.40346970858470754,0.1076556569702375,8.238500292867564e-7,1.194790542432685e-10,8.912302275114793e-10,5.910341061712832e-10,1.7350633538792858e-9,1.3295941249353215e-8,7.391009678984598e-9
57,Cocina/Catadau,0,2,0,1,868.3706055,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,1.1515820476491244e-6,2.4983190150192998e-12,7.994620848061759e-12,4.9966380300385994e-11,5.710443462901257e-11,7.994620848061759e-11,1.6655460100128665e-10
58,Cocina/Catadau,0,2,0,2,7217.30249,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,2.771118437631121e-7,6.011849437682285e-13,1.923791820058331e-12,1.2023698875364568e-11,1.3741370143273792e-11,1.923791820058331e-11,4.007899625121523e-11
59,Cocina/Catadau,0,2,0,1,1613.500244,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,6.197705911223897e-7,1.344571718456135e-12,4.302629499059632e-12,2.68914343691227e-11,3.0733067850425945e-11,4.302629499059632e-11,8.963811456374234e-11
60,Cocina/Catadau,0,2,0,1,10284.44727,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,9.723419973351664e-8,2.1094636773848448e-13,6.750283767631504e-13,4.2189273547696896e-12,4.821631262593931e-12,6.750283767631503e-12,1.4063091182565632e-11
63,Cocina/Catadau,0,2,0,11,4387.424072,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,2.5071658949497603e-6,5.439213160666911e-12,1.7405482114134113e-11,1.0878426321333821e-10,1.243248722438151e-10,1.7405482114134115e-10,3.6261421071112737e-10
64,Cocina/Catadau,0,2,0,4,4537.668945,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,8.815098784162183e-7,1.9124064113976234e-12,6.119700516472395e-12,3.824812822795247e-11,4.3712146546231394e-11,6.119700516472395e-11,1.2749376075984156e-10
66,Cocina/Catadau,0,2,0,1,4711.460693,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,2.1224840132609803e-7,4.604658591395517e-13,1.4734907492465655e-12,9.209317182791034e-12,1.0524933923189754e-11,1.4734907492465654e-11,3.069772394263678e-11
67,Cocina/Catadau,0,2,0,1,3533.61084,Cocina/Catadau-0-2-0,NA,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,0.0017355734366435783,2.8299664147509805e-7,6.139518170044081e-13,1.964645814414106e-12,1.2279036340088164e-11,1.4033184388672187e-11,1.964645814414106e-11,4.0930121133627215e-11
